hi,Marker,Prompt



Accounts,smoke,Show me ria in usa



Contacts,smoke,Show me CIO contacts who are based in Charlotte.



Account with Contacts,,create a report of all endowments and foundations in dallas with their contacts



Accounts with Investments,,Can you show me public pension funds with investments in private credit



Alumni,,Can you show me all alternative contacts that are alumni of University of Missouri?



Vintage Year Prompts,,Show me allocators who invested in 2022-vintage Private Equity OR 2022-vintage Private Credit funds



Transactions,smoke,Show me all Healthcare transactions from 2025



News,,Show me all healthcare-related news articles






